t,count
1757644021.2030926,12
1757644022.5577674,12
1757644023.688609,14
1757644024.0147953,14
1757644024.655242,14
1757644025.0478332,14
1757644025.6747355,14
1757644026.732447,0
1757644027.4234517,0
1757644028.0110266,0
1757644028.3561573,0
1757644029.0850334,0
1757644029.725028,11
1757644030.522172,11
1757644031.3029468,11
1757644033.220566,11
